Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Last Inventory Year (2015),Change from base year to latest reported year
Australia,"419,843.16","419,843.16","420,927.19","425,820.88","426,128.33","426,074.58","435,383.82","442,451.33","454,478.93","468,313.17","474,027.90","484,841.72","492,364.79","496,055.18","497,453.07","514,657.49","521,252.76","525,201.53","532,540.12","536,213.59","540,357.63","537,159.26","538,544.09","541,258.26","531,325.63","525,792.13","533,282.71",27.02%
Austria,"78,804.65","78,804.65","82,630.84","75,924.58","75,967.67","76,501.24","79,814.98","83,031.22","82,494.45","81,789.67","80,171.24","80,533.54","84,584.37","86,250.80","91,907.59","91,673.96","92,641.65","89,798.19","87,072.36","86,923.07","80,248.60","85,059.02","82,696.89","80,037.93","80,150.24","76,381.33","78,850.81",0.06%
Belarus,"136,914.91","136,914.91","128,847.46","119,744.83","107,500.05","91,124.83","83,118.52","85,329.90","89,570.89","86,375.38","82,707.25","81,282.71","81,184.69","79,858.32","82,037.33","86,808.28","88,259.10","92,058.13","91,922.57","95,297.12","91,125.70","93,882.99","93,945.36","93,628.29","94,733.28","93,660.52","89,607.64",-34.55%
Belgium,"146,294.18","146,294.18","145,485.63","145,363.12","144,343.38","152,160.40","154,348.24","158,013.76","149,500.39","154,661.07","148,325.81","149,480.10","147,870.26","147,442.51","147,755.37","149,131.00","145,095.64","142,543.38","138,801.17","138,794.41","125,937.42","132,437.18","121,803.37","119,000.74","119,380.69","114,078.73","117,443.26",-19.72%
Bulgaria,"116,381.94","103,653.58","82,024.86","77,434.32","76,436.81","72,866.79","74,403.08","74,578.99","71,147.42","67,082.70","60,299.19","59,366.29","62,461.62","59,501.46","63,959.17","63,120.08","63,689.84","64,255.15","68,142.12","66,739.49","57,739.51","60,300.91","65,613.59","60,515.65","55,327.23","57,505.12","61,482.75",-47.17%
Canada,"611,000.78","611,000.78","603,824.48","621,187.42","622,898.40","644,272.88","661,279.65","681,787.17","697,026.12","703,817.06","716,500.14","738,185.65","727,722.16","730,146.63","748,811.48","750,678.93","738,263.70","729,036.37","749,579.72","729,186.50","688,811.48","700,838.00","707,445.93","716,284.61","729,206.93","727,158.16","721,801.45",18.13%
Croatia,"31,153.70","31,153.70","24,369.39","22,521.75","22,663.97","21,747.06","22,310.22","22,925.24","24,164.77","24,516.66","25,596.42","25,255.27","26,469.00","27,482.89","28,845.96","28,923.62","29,312.39","29,605.91","31,073.53","29,887.08","27,950.84","27,329.01","26,928.66","25,121.94","23,922.55","23,049.00","23,502.15",-24.56%
Cyprus,"5,621.64","5,621.64","6,118.43","6,556.09","6,855.26","7,099.35","7,042.07","7,337.71","7,467.01","7,795.25","8,056.16","8,325.55","8,281.49","8,517.95","8,912.04","9,143.28","9,306.49","9,571.04","9,909.29","10,091.56","9,872.18","9,574.40","9,275.27","8,768.17","8,048.74","8,431.78","8,466.67",50.61%
Czech Republic,"195,827.08","195,827.08","177,149.06","170,408.66","162,605.63","154,904.70","155,307.59","157,453.40","153,734.00","147,810.31","138,762.66","148,224.60","147,877.67","144,368.78","147,691.28","148,553.92","146,529.67","148,211.90","149,682.56","145,135.22","136,835.65","138,625.85","136,917.51","133,561.38","129,749.79","125,838.63","127,126.83",-35.08%
Denmark,"70,492.77","70,492.77","81,111.12","75,123.54","77,311.11","81,207.29","78,278.83","91,466.00","82,012.16","78,022.02","75,572.29","71,312.91","73,028.55","72,578.36","77,653.27","71,550.87","67,135.79","74,895.19","70,320.04","66,660.25","63,778.20","64,260.79","59,006.77","54,133.86","55,968.67","51,800.82","49,321.03",-30.03%
Estonia,"40,402.74","40,402.74","37,242.40","27,254.31","21,311.66","22,018.63","20,216.40","20,918.98","20,543.94","18,953.24","17,607.58","17,313.27","17,713.83","17,171.21","19,061.38","19,326.77","19,156.75","18,448.72","22,176.21","19,998.39","16,677.89","21,143.45","21,182.67","20,118.05","21,856.28","21,081.13","18,040.48",-55.35%
European Union (Convention),"5,642,685.16","5,642,685.16","5,541,763.92","5,364,708.82","5,264,730.62","5,242,626.97","5,291,506.84","5,400,668.98","5,300,508.03","5,255,357.51","5,142,926.78","5,152,235.24","5,207,974.96","5,165,137.46","5,248,735.88","5,249,553.43","5,211,179.95","5,198,678.48","5,149,616.27","5,034,743.68","4,669,573.42","4,775,202.18","4,620,177.48","4,557,392.77","4,461,943.13","4,284,831.17","4,307,968.32",-23.65%
European Union (KP),"5,649,488.09","5,649,488.09","5,548,393.08","5,371,254.60","5,271,334.68","5,249,175.73","5,298,185.40","5,407,530.10","5,307,652.36","5,262,866.91","5,150,514.26","5,159,685.64","5,215,192.43","5,172,465.10","5,255,932.78","5,256,860.37","5,218,620.51","5,206,810.47","5,158,175.47","5,043,526.35","4,678,018.19","4,783,449.58","4,628,140.17","4,565,286.39","4,469,916.58","4,292,734.62","4,315,773.06",-23.61%
Finland,"71,125.26","71,125.26","68,903.28","67,474.77","69,716.17","75,221.80","71,676.03","77,474.48","76,064.92","72,397.28","71,771.86","69,898.57","75,255.56","77,671.85","85,171.85","81,399.09","69,492.92","80,666.12","79,112.78","71,091.99","67,372.00","75,585.25","67,644.52","62,330.33","63,138.29","59,072.44","55,507.21",-21.96%
France,"550,068.50","550,068.50","576,569.99","565,152.95","542,490.21","540,404.04","547,495.69","563,642.62","556,563.20","572,256.31","558,887.41","555,748.34","556,890.13","551,521.79","556,848.92","555,949.16","557,931.16","545,236.79","536,194.21","528,974.44","508,169.07","516,766.39","489,847.03","488,943.92","487,262.69","460,077.46","463,650.09",-15.71%
